Entity, Alias: Default, Base Currency
003013,Project Russet (GP Co.) Ltd Jersey,GBP
E115000,Bawabat El Sharq Egypt Real_Estate,EGP
002006,Bawabat El Sharq Egypt RE (H),EGP
002007,Bawabat El Sharq Egypt For RED S.A.E.,EGP
002005,Bawabat El Sharq New Cairo For REI S.A.E.,EGP
002011,Barwa Investment,EGP
115000A,Bawabat El Sharq Egypt Real Estate Adj Entity,QAR
E124000,QDRE Investment Company Tozeur Subgroup,TND
015002,QDRE Investment Company Tozeur,TND
015004,Al Maha Resort Management Tozeur Company,TND
124001A,QDRE Investment Company Tozeur Adj Entity,TND
001027,Qatari Diar Finance Q.S.C.,QAR
016002,Mushereib Serv. & Project Mng. Co. Ltd.,QAR
016003,Al Maha Private Asset & Facility Mng. Co.,SDG
023001,Qatari Diar (Thailand) Limited,QAR
001014,The Commercial Avenue W.L.L.,QAR
E116000,QD Triangle (Holding Company) Ltd,GBP
003020,QD Triangle (Hold Co.) Ltd (H),GBP
003022,QD Triangle (East Village) Ltd,GBP
003021,QD Triangle (EC1) Ltd,GBP
116001A,QD Triangle (Holding Company) Ltd Adj entity,GBP
022002,Al Maha Property & Facility Mng. co.-Tajikistan,USD
013011,Qatari Diar Europe LLP,GBP
E117100,QD UK Holdings LP adjusted,QAR
E117000,QD UK Holdings_LP,GBP
013013,QD UK Holdings LP (H),GBP
013007,CB 1_3 LP,GBP
013008,CB 4 LP,GBP
013009,CB 5 LP,GBP
013010,CB 6 LP,GBP
013016,CB Estate LP,GBP
013012,16 GS LLP,GBP
013014,30 GS LLP,GBP
003014,"Project Russet Property Unit Trust, Jersey",GBP
013017,51 RG LP,GBP
117000A,QDUKH Adj Entity,GBP
117101A,QD UK Holdings LP QAR Adj Entity,QAR
E118000,QD SBG Group adjusted,QAR
E118100,QD-SBG Group WLL,QAR
001022,QD SBG Group WLL (H),QAR
001050,SBG O&M,QAR
001024,QD SBG Construction,QAR
118001A,QD-SBG Group WLL Adj Entity,QAR
E118200,QD-CPC Industries WLL,QAR
001043,QD CPC Precast Cement Products Factory WLL,QAR
001044,QD CPC Ready Mix WLL,QAR
001041,QD CPC Aluminum Manufacturing WLL,QAR
001042,QD CPC Asphalt Factory WLL,QAR
001045,QD CPC Woods and Interior Finishing WLL,QAR
001025,QD CPC Industries (Holding),QAR
E125000,Qatari Diar for Hotel Services Subgroup,EGP
002012,Qatari Diar for Hotel Services,EGP
002013,Al Maha for Facility Management S.A.E.,EGP
001032,SBG-PORR-HBK Joint Operation (Elevated),QAR
001033,PORR-SBG-HBK Joint Operation (Underground),QAR
001039,Lusail Real Estate Management Co. (LREMC),QAR
001038,Lusail Plaza RED Co. LLC (Lusail Tower 1 SPV),QAR
001009,Strategic Projects Company,QAR
001012,Labregah Real Estate Co. QSC.,QAR
001018,Diar Local Projects Co.,QAR
001019,Qatar Railways Company (RAIL),QAR
001023,Lusail Hochtief,QAR
002008,Hurgada Development Co.,QAR
002009,Giza Real Estate & Dev. Co.,QAR
007015,Q Hotels BV,QAR
E120000,QDRE Development SAE (Egypt) Subgroup,EGP
002002,QDRE Development SAE (Egypt),EGP
120001A,QDRE Development SAE (Egypt) Adj Entity,EGP
029001,Bayti,QAR
060001,Miscellaneous for hyperion rounding off,QAR
075001,,QAR
028001,Qatari Diar Djibouti,QAR
001049,Galalah Hotel Investment L.L.C,QAR
001029,Qatar Project Management Q.S.C.,QAR
E119000,Barwa Real_Estate,QAR
E119100,Barwa District Cooling SPC,QAR
013018,CB EM Services LLP,GBP
007010,QD America Ltd.,USD
005002,Al Maha Morocco,MAD
001052,Diar Al Khor,QAR
E123000,QD Asia Pacific Subgroup,USD
030001,QD Asia Pacific (H),USD
123001A,QD Asia Pacific Adj Entity,USD
011003,Diar Sulaymaniye (H),TRY
007002,QD Marina Sa.r.l. (H),EUR
007003,Comet Luxembourg Holding S.a.r.l.,EUR
015001,QD Tunisia Services Co.(under liquidation),TND
013002,Qatari Diar Development Company (UK) Limited,GBP
013003,Tasleem (UK) Limited,GBP
